"code_system","code","display"
"https://ibsi.readthedocs.io/en/latest/","WRJH","volume voxel mesh representation"
"https://ibsi.readthedocs.io/en/latest/","4R0B","discretisation"
"https://ibsi.readthedocs.io/en/latest/","Q3RU","fixed bin size"
"https://ibsi.readthedocs.io/en/latest/","K15C","fixed bin number"
"https://ibsi.readthedocs.io/en/latest/","23XZ","data conversion"
"https://ibsi.readthedocs.io/en/latest/","PCDE","image post-acquisition processing"
"https://ibsi.readthedocs.io/en/latest/","OQYT","segmentation"
"https://ibsi.readthedocs.io/en/latest/","VTM2","interpolation"
"https://ibsi.readthedocs.io/en/latest/","68QD","intensity rounding after interpolation"
"https://ibsi.readthedocs.io/en/latest/","E8H9","roi mask partial volume"
"https://ibsi.readthedocs.io/en/latest/","UMPJ","interpolation grid"
"https://ibsi.readthedocs.io/en/latest/","58MB","fit to original grid"
"https://ibsi.readthedocs.io/en/latest/","SBKJ","align grid origins"
"https://ibsi.readthedocs.io/en/latest/","3WE3","align grid centers"
"https://ibsi.readthedocs.io/en/latest/","026Q","align grid centers interpolation grid dimensions"
"https://ibsi.readthedocs.io/en/latest/","QCY4","align grid centers grid positions"
"https://ibsi.readthedocs.io/en/latest/","1OBP","ROI extraction"
"https://ibsi.readthedocs.io/en/latest/","JJUI","feature computed from a single matrix after merging 2D directional matrices per direction, and averaged over directions"
"https://ibsi.readthedocs.io/en/latest/","GFJV","Calculation Run Space"
"https://ibsi.readthedocs.io/en/latest/","CINW","FeatureParameterSpace"
"https://ibsi.readthedocs.io/en/latest/","1XL1","texture matrix aggregation parameters"
"https://ibsi.readthedocs.io/en/latest/","8QU8","intensity discretization parameters"
"https://ibsi.readthedocs.io/en/latest/","I7X7","histogram equalisation"
"https://ibsi.readthedocs.io/en/latest/","SSX6","Lloyd-Max discretisation"
"https://ibsi.readthedocs.io/en/latest/","OWOH","feature specific parameters"
"https://ibsi.readthedocs.io/en/latest/","9LZ9","asymmetrical co-occurrence matrix"
"https://ibsi.readthedocs.io/en/latest/","2IQV","symmetrical co-occurrence matrix"
"https://ibsi.readthedocs.io/en/latest/","3S2S","distance weighting function"
"https://ibsi.readthedocs.io/en/latest/","V0L6","no distance weighting"
"https://ibsi.readthedocs.io/en/latest/","4S5Z","GLCM specific parameters"
"https://ibsi.readthedocs.io/en/latest/","0OW5","GLRLM specific parameters"
"https://ibsi.readthedocs.io/en/latest/","6SLW","GLDZM specific parameters"
"https://ibsi.readthedocs.io/en/latest/","MV8M","NGTDM specific parameters"
"https://ibsi.readthedocs.io/en/latest/","KQW7","IntVolSpecificParameters"
"https://ibsi.readthedocs.io/en/latest/","X6TI","MaximumBound"
"https://ibsi.readthedocs.io/en/latest/","V2QW","MinimumBound"
